incident_id,description,machine_prediction,confidence,human_label,correct,notes
69176,"At an anti-Israel rally organized by groups including the Party for Socialism and Liberation, the US Palestinian Community Network and the Palestinian Youth Movement, protesters displayed signs that read: ""Reject Zionism.""",Slogans / Code words,0.6075181606610616,,,
71168,"Graffiti was found on a residential building that read: ""Free Gaza Kill Jews"" and ""Free Gaza Kill Jewish Swine.""",Slogans / Code words,0.5775403343836466,,,
65219,"At an anti-Israel protest organized by Amnesty International at the University of Illinois, protesters held signs that read: ""From the river to the sea, Palestine will be free,"" a slogan commonly used as a call for an end of the Jewish state.",Slogans / Code words,0.5875304304758707,,,
69627,"A Jewish individual received a comment on a non-political social media post that read: ""Maybe try not being a Zionist I heard that helps.""",Slogans / Code words,0.6429480873743693,,,
69260,"At an anti-Israel rally organized by the Democratic Socialists of America, protesters chanted and displayed signs with messages that included: ""From the river to the sea, Palestine will be free,"" a slogan commonly used to call for an end to the Jewish state, and ""Land back.""",Slogans / Code words,0.6248392426172892,,,
67451,A sign at a synagogue raising awareness of Israeli hostages taken by Hamas was vandalized with anti-Israel graffiti.,Slogans / Code words,0.4942288640340169,,,
71593,"At an anti-Israel rally organized by Next Step Hudson Valley, protesters displayed signs with messages that included: ""From the river to the sea,"" a slogan commonly used to call for an end to the Jewish state. Protesters also displayed buttons that equated Israel with swastika imagery.",Slogans / Code words,0.6097294651667277,,,
73244,"An individual said to a visibly Jewish realtor and clients, ""Go back to Lakewood"" and ""you Jews don't belong here.""",Slogans / Code words,0.6018812023798624,,,
65173,"At an anti-Israel rally organized by the Vanderbilt Divest Coalition, Jewish Voice for Peace and Students for Justice in Palestine at Vanderbilt University, protesters chanted, ""From the river to the sea, Palestine will be free,"" a slogan commonly used as a call for an end of the Jewish state.",Slogans / Code words,0.6159981770515441,,,
63548,"Graffiti that equated an Israeli flag and a swastika and read: ""Free Palestine,"" ""Fuck Israel,"" ""Fuck Islam"" and ""109 countries"" was found at a subway station.",Slogans / Code words,0.5683667623202006,,,
70270,"A synagogue received a voice message from an individual who said, ""Trying to find out if you're a bunch of genocidal maniacs or not,"" ""I wanna know if you are dual-citizens fucking spying on Americans here in America,"" ""After you fucking Jews were digging holes in New York...I don't trust you"" and ""It's coming to an end soon.""",Slogans / Code words,0.6615114771525065,,,
65484,"At an anti-Israel protest organized by groups including Students for Justice in Palestine, the Fifth Sun Project and the Party for Socialism and Liberation at the University of Nevada, Las Vegas, protesters chanted, ""From the river to the sea, Palestine will be free,"" a slogan commonly used as a call for an end of the Jewish state.",Slogans / Code words,0.5550568067232767,,,
72782,"At an anti-Israel rally organized by Ontario United for Liberation, protesters displayed signs with messages that included: ""Zionism is not from God. It is a colonial project"" (in Spanish).",Slogans / Code words,0.6428321563402811,,,
72681,"At an anti-Israel rally organized by Jewish Voice for Peace, NJ 11th for Palestine, Pax Christi and the Council on American-Islamic Relations, protesters displayed signs with messages that included: ""Resistance is justified when people are occupied,"" a slogan commonly used to support Hamas's antisemitic October 7, 2023, terrorist attack.",Slogans / Code words,0.5652494990030924,,,
73142,"Three individuals drove around a Jewish community center while yelling, ""Kill the Jews.""",Slogans / Code words,0.4996656719048818,,,
73207,"An individual said, ""Hitler is coming for you"" and ""Fuck the Jews"" from their car while driving by two individuals associated with the Jewish community.",Slogans / Code words,0.5232889615694681,,,
72498,"At an anti-Israel rally organized by Ontario United for Liberation and Chino Valley 4 Palestinian Liberation, protesters chanted, ""Long live the Intifada"" and ""There is only one solution; Intifada, revolution,"" slogans commonly used as a call for violence against Israel and the Jewish community. Protesters also held signs with messages that read: ""Save America; Stop the evil of AIPAC,"" ""From the river to the sea, Palestine will be free"" (in Vietnamese) and ""There is no other way but to resist the occupation"" (a Che Guevara quote, in Spanish).",Slogans / Code words,0.5764300190607706,,,
69732,"An individual displayed a publicly visible sign in their window that read: ""Long Live the Intifada,"" a slogan commonly used as a call for violence against Israel and the Jewish community.",Slogans / Code words,0.578023728052775,,,
65220,"At an anti-Israel rally organized by Students for Justice in Palestine and Jewish Voice for Peace at Yale University, protesters chanted, ""There is only one solution; Intifada, revolution,"" a slogan commonly used as a call for violence against Israel and the Jewish community, and ""From the river to the sea, Palestine is almost free.""",Slogans / Code words,0.58088707558314,,,
73027,"At an anti-Israel rally organized by Rally Middletown, protesters held signs with messages that included: ""Zionism is terrorism"" and ""From the river to the sea, Palestine will be free,"" a slogan commonly used as a call for an end to the Jewish state.",Slogans / Code words,0.6563624703089396,,,
65015,"At an anti-Israel rally organized by Jewish Voice for Peace, Students for Justice in Palestine and the Columbia University Apartheid Divest at Barnard College, protesters held signs with messages that included: ""Intifada,"" a slogan commonly used as a call for violence against Israel and the Jewish community.",Slogans / Code words,0.5652098301251729,,,
65144,"At an anti-Israel gathering organized by the Students for Justice in Palestine at Temple University, individuals displayed messages that included: ""Intifada revolution,"" a slogan commonly used as a call for violence against Israel and the Jewish community.",Slogans / Code words,0.591024482568105,,,
72919,"At an anti-Israel rally organized by the US Palestinian Community Network, Students for Justice in Palestine, Students for a Democratic Society and the Freedom Road Socialist Organization, a speaker referred pejoratively to ""the Zionists.""",Slogans / Code words,0.7331950906117757,,,
64611,"Graffiti was found in a tunnel that read: ""Jews 4 Hamas"" and ""Kill Biden.""",Slogans / Code words,0.5439002795219421,,,
69427,"A Jewish-owned coffee shop was picketed by anti-Israel protesters after firing an employee who had made inappropriate political comments to customers. Organizers of the protest released a statement online that read: ""The ruling classes kill babies abroad and exploit workers at home. Join us for a rally against the violence of Zionism, here and everywhere.""",Slogans / Code words,0.5353353265126546,,,
64049,"The gate of a Jewish school was vandalized with: ""Hitler!"" and ""Free Palestine!""",Slogans / Code words,0.5771357380549113,,,
